product_design-consumer_electronics-handheld_computer-prototype,2
architecture-landscape_architecture-drawing-built,4
product_design-housewares-rack-production,1
furniture-undetermined-screen-production,1
architecture-architecture-sculptural_relief-conceptual,1
furniture-undetermined-desk-prototype,1
graphic_design-digital-typeface-conceptual,1
graphic_design-print-ephemera-conceptual,3
graphic_design-digital-installation-conceptual,1
graphic_design-print-print-undetermined,1
architecture-architecture-architectural_fragment-production,1
product_design-housewares-toaster-production,2
graphic_design-print-artist's_book-conceptual,2
furniture-undetermined-shelf-prototype,1
fashion-undetermined-suit-production,1
furniture-conceptual_design-dresser-conceptual,1
product_design-housewares-video-conceptual,1
product_design-consumer_electronics-blender-production,1
graphic_design-print-digital_media-production,1
furniture-undetermined-chaise-conceptual,2
product_design-consumer_electronics-humidifier-production,1
product_design-consumer_electronics-lighting-production,1
product_design-consumer_electronics-laptop_computer-production,7
architecture-architecture-drawing-production,4
architecture-architecture-print-undetermined,1
product_design-consumer_electronics-synthesizer-production,1
product_design-housewares-box-production,1
furniture-architecture-drawing-built,1
graphic_design-print-undetermined-production,1
architecture-consumer_electronics-drawing-conceptual,1
product_design-active/sport-ice_axe-production,1
art-undetermined-undetermined-undetermined,4
product_design-undetermined-garbage_can-production,1
product_design-housewares-paper_weight-production,1
product_design-housewares-mirror-conceptual,1
architecture-architecture-cd_rom-conceptual,1
product_design-housewares-bucket-production,1
product_design-consumer_electronics-sink-production,1
product_design-consumer_electronics-tablet_computer-prototype,1
product_design-fashion-corsage-conceptual,1
furniture-undetermined-table-built,1
furniture-furniture-chair-prototype,1
architecture-architecture-model-production,1
product_design-consumer_electronics-television_remote-production,1
graphic_design-print-playing_cards-conceptual,1
product_design-undetermined-undetermined-conceptual,1
furniture-limited_edition_furniture-chair-production,1
architecture-urban_design-installation-built,1
graphic_design-print-portfolio-production,1
architecture-landscape_architecture-drawing-production,1
architecture-urban_design-photograph-conceptual,1
furniture-undetermined-undetermined-conceptual,1
furniture-undetermined-chest-production,1
product_design-housewares-razor-production,1
technology_design-undetermined-undetermined-undetermined,1
